Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
TM.VAL.MRCH.WL.CD,35622000,38208000,38170000,35863000,37145000,52095000,57645000,69199000,69926000,80559000,69925000,77030000,76593000,114992000,188118000,195564000,197882000,279995000,346717000,479162000,571476000,557237000,637483000,525019000,563937000,492605300,566160100,576335540,548459010,739722500,1341022100,1444730100,1399709300,1672245300,2354480700,3076616400,3135523600,"3951576279,314","4244006549,032","2886629023,936","2255415574,5","2187290711,1","1661033732,6",1948419968,"2711745521,1","3363573376,9",4969137822,"6106673315,6","9372035449,7","7167056067,6","10332499437,7",12703791133,11831938323,12431820130,12428838007
TM.VAL.MRCH.RS.ZS,"13,9604738645","13,9578098827","15,0458475242","14,4048183364","13,4419168125","11,5999616086","12,5735102784","9,8932065492","11,1117467037","10,535135739","9,1369324276","8,429183435","7,6965257922","6,6361138166","12,5144855888","14,1222310855","15,3258002244","11,4794907052","12,9526386073","13,8237172397","10,3488160483","6,8782223722","15,2967059514","15,5802551908","10,6271090565","1,8292941631","1,3178781055","2,1380253593","1,5387111609","2,7703632105","2,383622164","3,5297181114","3,4454439933","3,2246584876","0,7025668123","0,4808139227","0,2450467922","0,094887957","0,1007187371","0,1565155922","0,0108501955","-5,45008895917773E-015","0,0012918281","0,0018531682","0,1097732651","1,9472887124","1,9918559003","0,4849134147","0,0022159071","0,0174958335","0,0117574969","0,0198500792","0,0010948358","0,0020976832","0,0097625409"
TM.VAL.MRCH.R5.ZS,0,0,0,0,0,0,"0,8534998699","0,2384427521","0,3603809742","0,5052197768","0,4333214158","0,2985849669","0,3368454036","0,0930499513","0,1499059101","0,0475547647","0,068222476","0,1271451276","0,1326730446","0,1293925645","0,0815432319","0,103367149","0,0747157179","0,0446269564","0,0087775762","0,0471168296","0,0374982271","0,0858874676","0,0720017345","0,0921967359","0,0565165928","0,1478615279","0,2167450056","0,3031792046","0,3169913434","0,328503742","0,3213498377","0,2580304925","0,2028020278","0,321287902","0,3876146152","0,3741835897","0,3860930199","0,3612933975","0,4959138789","0,5834241326","0,3750852133","0,5626479644","0,6180430378","0,7275042264","0,5970298578","0,7325752362","0,7818182074","0,8694354316","1,0480126616"
TM.VAL.MRCH.R3.ZS,"0,853405199","0,6412269682","0,6078071784","1,5977469816","0,931484722","3,1404165467","3,5909445746","4,0549718927","4,2473471956","2,7942253504","3,8112263139","10,5153836168","16,0523807659","15,9080631696","22,3976440319","21,9012701724","19,443405666","22,3661136806","20,2704222752","23,9096589462","27,2847853628","27,034278054","26,8859248011","28,6697814746","32,8261844851","36,6082135129","32,315894391","33,7152399104","31,0736621867","28,3149559463","19,564174222","20,4495081815","23,0723408068","25,2361660099","27,546851414","24,3085618344","33,8402779045","34,2459215263","33,0618761562","29,0012480223","25,6886406634","29,7197975697","32,7992649521","35,78532968","33,7189317244","28,8947674718","22,8907774879","30,4409804689","28,8140086163","24,9516292022","25,6599872421","28,8489655453","26,0693670572","28,8849186511","31,4689329244"
TM.VAL.MRCH.HI.ZS,"85,1861209365","85,4009631491","84,3463452974","83,997434682","85,6265984655","85,2596218447","83,835545147","86,0518215581","84,6409061007","86,6706389106","87,0518412585","81,0554329482","76,251093442","77,4558230138","65,0878703792","63,9764987421","65,2307941096","66,1543956142","66,7769391175","62,2666238141","62,3663985889","66,0874995738","57,8173692475","55,7499633347","56,5467064583","51,7405314153","59,514737969","55,9225898163","59,0936485846","61,2523885646","73,0687361528","72,2875366132","70,5795767735","67,9168122045","68,6827502982","73,0968378118","64,5695315449","62,8321225771","63,4460342289","67,6251616946","61,7995509457","56,9802564138","52,8971077201","49,2080849533","48,6674283089","46,7702234625","45,2447348662","38,3253558238","41,0435583673","42,4850486459","37,1580786735","38,2638989504","43,4982155949","39,6829412991","39,8361022681"
TM.VAL.MRCH.CD.WT,38240000,40940000,39740000,38680000,39820000,55380000,58790000,70820000,72800000,82260000,76200000,83240000,82620000,122270000,198300000,205570000,220190000,308310000,383040000,521050000,615000000,600000000,672000000,546000000,586000000,502000000,578000000,595000000,574000000,760000000,1352000000,1460000000,1422000000,1689000000,2370000000,3144000000,3204000000,3403000000,2897000000,1906000000,2193000000,2182000000,1672000000,2227540000,3097000000,3714927000,4743813000,5859421000,9033191000,6939842000,10033466000,12366127000,11555136000,12142040000,12168558000
SP.URB.TOTL.IN.ZS,"35,569","35,67","35,771","35,916","36,079","36,243","36,407","36,571","36,735","36,9","37,065","37,23","37,396","37,916","38,447","38,981","39,518","40,056","40,598","41,141","41,688","42,235","42,785","43,512","44,247","44,983","45,722","46,463","47,207","47,949","48,694","49,439","50,186","50,844","51,488","52,131","52,774","53,414","54,054","54,693","55,331","55,966","56,6","56,893","57,122","57,35","57,578","57,806","58,034","58,26","58,487","58,714","58,94","59,174","59,416"
SP.URB.TOTL,676832,696753,717329,739480,762744,786782,811648,837322,863603,890236,917026,943913,971077,1008218,1047113,1087946,1130840,1175794,1223150,1273100,1325940,1381699,1440454,1508037,1578622,1651697,1727269,1805289,1885602,1967783,2051839,2137447,2224614,2309285,2394821,2481880,2570461,2660202,2750973,2842360,2934039,3025872,3117876,3190530,3258092,3323715,3387197,3448798,3509392,3570084,3631971,3695320,3759878,3825995,3893244
SP.URB.GROW,"2,8896198541","2,900788356","2,9103619645","3,0412644781","3,0975220808","3,1028751482","3,1115539863","3,1141955159","3,0904468669","3,0373423649","2,9649229066","2,8898175701","2,8371763957","3,7533930251","3,7852437369","3,8254661373","3,866920455","3,8982944666","3,9485834343","4,0025372678","4,0666770786","4,1192259463","4,1644440342","4,5850463418","4,5743509501","4,5250929638","4,4738304238","4,4179141301","4,3526443538","4,2660395013","4,1828935869","4,0875662008","3,9971291222","3,735453539","3,6370536218","3,5707848477","3,5068922746","3,4316799507","3,3552607521","3,268002573","3,1745279055","3,0819342339","2,9952686357","2,3035046435","2,0954700767","1,9941385281","1,8919602466","1,8023028828","1,7417038562","1,7146321826","1,7186351199","1,7291678043","1,7319355898","1,7432054102","1,7424179094"
SP.RUR.TOTL.ZS,"64,431","64,33","64,229","64,084","63,921","63,757","63,593","63,429","63,265","63,1","62,935","62,77","62,604","62,084","61,553","61,019","60,482","59,944","59,402","58,859","58,312","57,765","57,215","56,488","55,753","55,017","54,278","53,537","52,793","52,051","51,306","50,561","49,814","49,156","48,512","47,869","47,226","46,586","45,946","45,307","44,669","44,034","43,4","43,107","42,878","42,65","42,422","42,194","41,966","41,74","41,513","41,286","41,06","40,826","40,584"
